Fentanyl Detection ,Year,Week,
33.3,2016,1/1/2016,1
0,2016,1/8/2016,2
20,2016,1/15/2016,3
20,2016,1/22/2016,4
44.4,2016,1/29/2016,5
33.3,2016,2/5/2016,6
14.3,2016,2/12/2016,7
33.3,2016,2/19/2016,8
16.7,2016,2/26/2016,9
14.3,2016,3/4/2016,10
0,2016,3/11/2016,11
33.3,2016,3/18/2016,12
0,2016,3/25/2016,13
0,2016,4/1/2016,14
0,2016,4/8/2016,15
50,2016,4/15/2016,16
33.3,2016,4/22/2016,17
20,2016,4/29/2016,18
0,2016,5/6/2016,19
0,2016,5/13/2016,20
33.3,2016,5/20/2016,21
25,2016,5/27/2016,22
0,2016,6/3/2016,23
0,2016,6/10/2016,24
0,2016,6/17/2016,25
0,2016,6/24/2016,26
0,2016,7/1/2016,27
33.3,2016,7/8/2016,28
45.5,2016,7/15/2016,29
14.3,2016,7/22/2016,30
20,2016,7/29/2016,31
33.3,2016,8/5/2016,32
44.4,2016,8/12/2016,33
0,2016,8/19/2016,34
0,2016,8/26/2016,35
22.2,2016,9/2/2016,36
12.5,2016,9/9/2016,37
28.6,2016,9/16/2016,38
11.1,2016,9/23/2016,39
0,2016,9/30/2016,40
12.5,2016,10/7/2016,41
25,2016,10/14/2016,42
12.5,2016,10/21/2016,43
55.6,2016,10/28/2016,44
28.6,2016,11/4/2016,45
36.4,2016,11/11/2016,46
40,2016,11/18/2016,47
16.7,2016,11/25/2016,48
0,2016,12/2/2016,49
20,2016,12/9/2016,50
50,2016,12/16/2016,51
0,2016,12/23/2016,52
25,2017,1/1/2017,1
20,2017,1/8/2017,2
0,2017,1/15/2017,3
20,2017,1/22/2017,4
16.7,2017,1/29/2017,5
0,2017,2/5/2017,6
0,2017,2/12/2017,7
14.3,2017,2/19/2017,8
16.7,2017,2/26/2017,9
28.6,2017,3/5/2017,10
50,2017,3/12/2017,11
0,2017,3/19/2017,12
25,2017,3/26/2017,13
0,2017,4/2/2017,14
28.6,2017,4/9/2017,15
33.3,2017,4/16/2017,16
33.3,2017,4/23/2017,17
14.3,2017,4/30/2017,18
40,2017,5/7/2017,19
50,2017,5/14/2017,20
50,2017,5/21/2017,21
66.7,2017,5/28/2017,22
0,2017,6/4/2017,23
100,2017,6/11/2017,24
14.3,2017,6/18/2017,25
16.7,2017,6/25/2017,26
42.9,2017,7/2/2017,27
0,2017,7/9/2017,28
20,2017,7/16/2017,29
40,2017,7/23/2017,30
42.9,2017,7/30/2017,31
33.3,2017,8/6/2017,32
20,2017,8/13/2017,33
100,2017,8/20/2017,34
50,2017,8/27/2017,35
60,2017,9/3/2017,36
0,2017,9/10/2017,37
50,2017,9/17/2017,38
25,2017,9/24/2017,39
20,2017,10/1/2017,40
50,2017,10/8/2017,41
40,2017,10/15/2017,42
80,2017,10/22/2017,43
0,2017,10/29/2017,44
75,2017,11/5/2017,45
50,2017,11/12/2017,46
50,2017,11/19/2017,47
50,2017,11/26/2017,48
66.7,2017,12/3/2017,49
44.4,2017,12/10/2017,50
45.5,2017,12/17/2017,51
33.3,2017,12/24/2017,52
42.9,2018,1/1/2018,1
14.3,2018,1/8/2018,2
25,2018,1/15/2018,3
66.7,2018,1/22/2018,4
100,2018,1/29/2018,5
100,2018,2/5/2018,6
40,2018,2/12/2018,7
50,2018,2/19/2018,8
50,2018,2/26/2018,9
33.3,2018,3/5/2018,10
71.4,2018,3/12/2018,11
66.7,2018,3/19/2018,12
42.9,2018,3/26/2018,13
37.5,2018,4/2/2018,14
33.3,2018,4/9/2018,15
28.6,2018,4/16/2018,16
100,2018,4/23/2018,17
44.4,2018,4/30/2018,18
66.7,2018,5/7/2018,19
83.3,2018,5/14/2018,20
70,2018,5/21/2018,21
75,2018,5/28/2018,22
66.7,2018,6/4/2018,23
33.3,2018,6/11/2018,24
37.5,2018,6/18/2018,25
85.7,2018,6/25/2018,26
72.7,2018,7/2/2018,27
62.5,2018,7/9/2018,28
33.3,2018,7/16/2018,29
100,2018,7/23/2018,30
66.7,2018,7/30/2018,31
55.6,2018,8/6/2018,32
16.7,2018,8/13/2018,33
50,2018,8/20/2018,34
40,2018,8/27/2018,35
100,2018,9/3/2018,36
37.5,2018,9/10/2018,37
57.1,2018,9/17/2018,38
50,2018,9/24/2018,39
28.6,2018,10/1/2018,40
14.3,2018,10/8/2018,41
62.5,2018,10/15/2018,42
40,2018,10/22/2018,43
100,2018,10/29/2018,44
50,2018,11/5/2018,45
33.3,2018,11/12/2018,46
62.5,2018,11/19/2018,47
40,2018,11/26/2018,48
50,2018,12/3/2018,49
75,2018,12/10/2018,50
36.4,2018,12/17/2018,51
44.4,2018,12/24/2018,52
20,2019,1/1/2019,1
50,2019,1/8/2019,2
66.7,2019,1/15/2019,3
66.7,2019,1/22/2019,4
55.6,2019,1/29/2019,5
63.6,2019,2/5/2019,6
50,2019,2/12/2019,7
85.7,2019,2/19/2019,8
66.7,2019,2/26/2019,9
44.4,2019,3/5/2019,10
25,2019,3/12/2019,11
57.1,2019,3/19/2019,12
55.6,2019,3/26/2019,13
37.5,2019,4/2/2019,14
66.7,2019,4/9/2019,15
76.9,2019,4/16/2019,16
100,2019,4/23/2019,17
83.3,2019,4/30/2019,18
66.7,2019,5/7/2019,19
50,2019,5/14/2019,20
60,2019,5/21/2019,21
83.3,2019,5/28/2019,22
83.3,2019,6/4/2019,23
83.3,2019,6/11/2019,24
33.3,2019,6/18/2019,25
75,2019,6/25/2019,26
35.7,2019,7/2/2019,27
63.6,2019,7/9/2019,28
70,2019,7/16/2019,29
77.8,2019,7/23/2019,30
77.8,2019,7/30/2019,31
66.7,2019,8/6/2019,32
50,2019,8/13/2019,33
75,2019,8/20/2019,34
75,2019,8/27/2019,35
38.5,2019,9/3/2019,36
60,2019,9/10/2019,37
90,2019,9/17/2019,38
71.4,2019,9/24/2019,39
50,2019,10/1/2019,40
53.8,2019,10/8/2019,41
60,2019,10/15/2019,42
75,2019,10/22/2019,43
50,2019,10/29/2019,44
