Unique_ID,STATEFP,COUNTYFP,TRACTCE,BLKGRPCE,GEOCODE,NAMELSAD,MTFCC,FUNCSTAT,ALAND,AWATER,INTPTLAT,INTPTLON,Shape_Length,Shape_Area,OBJECTID,GeoID_Description,GeoID_Name,SitsinState,GeoID,GeoID_Formatted,foodstamp_cruderate,uninsured_percentage,crd_lacktrpt,crd_foodinsecu,lifeexpect,median_rent,median_home_value,avg_household_size,percent_foreignborn,median_age,male_to_female_ratio,percent_poverty,median_Household_Income,pop_den,unemploy_rate,high_school,Join_Count
1,47,37,10103,1,4.70E+11,Block Group 1,G5030,S,22400493,61097,36.3647423,-86.8970691,0.263343251,0.002255221,1,Census Tract,47037010103,TN,47037010103,47037010103,9.4,4.77,6.8,12.2,77.4,922,361600,2.46,2.75,49,96,4.39,83631,131.56,3.5,90.32,7
2,47,37,10103,2,4.70E+11,Block Group 2,G5030,S,25619919,0,36.3402493,-86.8458191,0.300090788,0.002571794,1,Census Tract,47037010103,TN,47037010103,47037010103,9.4,4.77,6.8,12.2,77.4,922,361600,2.46,2.75,49,96,4.39,83631,131.56,3.5,90.32,19
3,47,37,10104,1,4.70E+11,Block Group 1,G5030,S,34078635,12748,36.2973239,-86.8552107,0.292802624,0.003420235,2,Census Tract,47037010104,TN,47037010104,47037010104,8.3,5.4,6.7,11.8,75.5,860,359000,2.07,0.94,53,83,2.2,115454,110.63,16.6,91.4,74
4,47,37,10104,2,4.70E+11,Block Group 2,G5030,S,30979214,238756,36.2951098,-86.9048583,0.297769356,0.00313204,2,Census Tract,47037010104,TN,47037010104,47037010104,8.3,5.4,6.7,11.8,75.5,860,359000,2.07,0.94,53,83,2.2,115454,110.63,16.6,91.4,35
5,47,37,10105,1,4.70E+11,Block Group 1,G5030,S,7854742,1093,36.2681508,-86.8494818,0.174860708,0.000787828,3,Census Tract,47037010105,TN,47037010105,47037010105,19,10.55,10.6,21.4,74.7,1509,357200,2.5,7.24,41,96,12.31,69816,478.43,12.2,96.45,3
6,47,37,10105,2,4.70E+11,Block Group 2,G5030,S,18956802,0,36.244676,-86.8587367,0.201515272,0.001900644,3,Census Tract,47037010105,TN,47037010105,47037010105,19,10.55,10.6,21.4,74.7,1509,357200,2.5,7.24,41,96,12.31,69816,478.43,12.2,96.45,20
7,47,37,10105,3,4.70E+11,Block Group 3,G5030,S,1517255,0,36.2245879,-86.8297142,0.050236312,0.000152084,3,Census Tract,47037010105,TN,47037010105,47037010105,19,10.55,10.6,21.4,74.7,1509,357200,2.5,7.24,41,96,12.31,69816,478.43,12.2,96.45,15
8,47,37,10106,1,4.70E+11,Block Group 1,G5030,S,18694778,6845,36.2610013,-86.8023491,0.201680195,0.001875329,4,Census Tract,47037010106,TN,47037010106,47037010106,16.9,7.9,10.6,20.5,73.2,0,327100,2.21,5.31,42,81,8.24,83186,318.11,2.8,95.96,8
9,47,37,10106,2,4.70E+11,Block Group 2,G5030,S,2921696,0,36.2377625,-86.7972839,0.095679025,0.000292909,4,Census Tract,47037010106,TN,47037010106,47037010106,16.9,7.9,10.6,20.5,73.2,0,327100,2.21,5.31,42,81,8.24,83186,318.11,2.8,95.96,22
10,47,37,10201,1,4.70E+11,Block Group 1,G5030,S,15728513,0,36.2921727,-86.7839968,0.233891886,0.001577912,5,Census Tract,47037010201,TN,47037010201,47037010201,14.2,9.57,9.6,18.3,76.6,1391,366200,2.34,8.74,48,102,6.71,77872,479.7,2.9,86.33,39
11,47,37,10201,2,4.70E+11,Block Group 2,G5030,S,3315734,0,36.2805971,-86.7673895,0.090042508,0.000332592,5,Census Tract,47037010201,TN,47037010201,47037010201,14.2,9.57,9.6,18.3,76.6,1391,366200,2.34,8.74,48,102,6.71,77872,479.7,2.9,86.33,7
12,47,37,10201,3,4.70E+11,Block Group 3,G5030,S,4674298,0,36.2804913,-86.7390472,0.103571513,0.000468865,5,Census Tract,47037010201,TN,47037010201,47037010201,14.2,9.57,9.6,18.3,76.6,1391,366200,2.34,8.74,48,102,6.71,77872,479.7,2.9,86.33,33
13,47,37,10202,1,4.70E+11,Block Group 1,G5030,S,17798295,0,36.3168958,-86.781446,0.252515047,0.001786113,6,Census Tract,47037010202,TN,47037010202,47037010202,8.8,6.88,6.6,11.6,76.1,1232,398900,2.58,3.52,45,107,8.59,98155,154.77,5.8,93.11,7
14,47,37,10202,2,4.70E+11,Block Group 2,G5030,S,27971087,77571,36.3619781,-86.7746355,0.316981333,0.002816395,6,Census Tract,47037010202,TN,47037010202,47037010202,8.8,6.88,6.6,11.6,76.1,1232,398900,2.58,3.52,45,107,8.59,98155,154.77,5.8,93.11,6
15,47,37,10202,3,4.70E+11,Block Group 3,G5030,S,22625552,0,36.3466281,-86.7443805,0.297598657,0.002271395,6,Census Tract,47037010202,TN,47037010202,47037010202,8.8,6.88,6.6,11.6,76.1,1232,398900,2.58,3.52,45,107,8.59,98155,154.77,5.8,93.11,3
16,47,37,10301,1,4.70E+11,Block Group 1,G5030,S,2366527,0,36.3338078,-86.7239851,0.077368812,0.000237539,7,Census Tract,47037010301,TN,47037010301,47037010301,22.7,7.96,12.3,24.3,75.8,1298,329700,2.43,5.31,34,75,11.51,55843,1358.31,4.4,86.54,0
17,47,37,10301,2,4.70E+11,Block Group 2,G5030,S,6161415,11775,36.3161492,-86.7261435,0.136006219,0.000619462,7,Census Tract,47037010301,TN,47037010301,47037010301,22.7,7.96,12.3,24.3,75.8,1298,329700,2.43,5.31,34,75,11.51,55843,1358.31,4.4,86.54,71
18,47,37,10302,1,4.70E+11,Block Group 1,G5030,S,1510349,0,36.3022131,-86.7150413,0.062460952,0.00015154,8,Census Tract,47037010302,TN,47037010302,47037010302,18.6,7.81,10.9,20.4,72,1342,312000,2.17,14.89,39,84,15.1,63307,5483.01,18,81.82,12
19,47,37,10302,2,4.70E+11,Block Group 2,G5030,S,2668987,6813,36.3192316,-86.7085217,0.089146386,0.000268536,8,Census Tract,47037010302,TN,47037010302,47037010302,18.6,7.81,10.9,20.4,72,1342,312000,2.17,14.89,39,84,15.1,63307,5483.01,18,81.82,76
20,47,37,10303,1,4.70E+11,Block Group 1,G5030,S,1006832,0,36.2912459,-86.7128734,0.039197977,0.000101006,9,Census Tract,47037010303,TN,47037010303,47037010303,16.4,12.63,10.1,18.5,77.1,1464,259100,1.97,8.2,36,66,14.69,60343,4928.89,6.7,80.56,13
