"Address","Zip","2016-2020","2021-2025","change","perct_change"
"200 JAMES ROBERTSON PKWY",37201,48,224,176,367
"400 DR MARTIN L KING JR BLVD",37219,28,157,129,461
"639 LAFAYETTE ST",37203,177,245,68,38
"709 REP JOHN LEWIS WAY S",37203,0,66,66,NA
"95 WALLACE RD",37211,26,72,46,177
"2200 BRICK CHURCH PIKE",37207,6,37,31,517
"2802 NOLENSVILLE PIKE",37210,3,34,31,1033
"837 BRILEY PKWY",37217,6,37,31,517
"1601 23RD AVE S",37212,22,51,29,132
"2901 JOHN A MERRITT BLVD",37209,8,37,29,362
"1210 MURFREESBORO PIKE",37217,11,38,27,245
"3389 MIMOSA DR",37211,0,27,27,NA
"1902 DICKERSON PIKE",37207,3,29,26,867
"250 CUMBERLAND BND",37228,20,46,26,130
"301 28TH AVE N",37203,5,30,25,500
"123 2ND AVE S",37219,0,24,24,NA
"121 4TH AVE S",37203,6,28,22,367
"365 RIO VISTA DR",37115,0,22,22,NA
"2403 BRICK CHURCH PIKE",37207,2,23,21,1050
"307 BROADWAY",37201,3,24,21,700
"433 GAY ST",37201,2,23,21,1050
"831 GLASTONBURY RD",37217,0,21,21,NA
"331 PLUS PARK BLVD",37217,7,27,20,286
"5800 MAUDINA AVE",37209,7,26,19,271
"1121 BELL RD",37013,7,25,18,257
"180 ANTHES DR",37210,0,17,17,NA
"221 BROADWAY",37201,4,21,17,425
"2715 WHITES CREEK PIKE",37207,8,25,17,212
"300 KATE ST",37115,6,23,17,283
"3230 BRICK CHURCH PIKE",37207,0,17,17,NA
"402 22ND AVE N",37203,12,29,17,142
"1 TERMINAL DR",37214,16,32,16,100
"4145 LEBANON PIKE",37076,6,22,16,267
"591 N DUPONT AVE",37115,12,28,16,133
"5119 HARDING PL",37211,0,15,15,NA
"7102 CHARLOTTE PIKE",37209,2,17,15,750
"717 SPENCE LN",37217,3,18,15,500
"84 LESTER AVE",37210,3,18,15,500
"105 BONNABROOK DR",37076,0,14,14,NA
"1804 GALLATIN PIKE N",37115,0,14,14,NA
"411 MURFREESBORO PIKE",37210,9,23,14,156
"701 DICKERSON PIKE",37207,0,14,14,NA
