"Address","total_calls","first_call","last_call","Zip","median_age"
"639 LAFAYETTE ST",528,2016-01-08,2025-12-25,37203,43
"200 JAMES ROBERTSON PKWY",346,2016-01-09,2025-12-30,37201,32
"400 DR MARTIN L KING JR BLVD",246,2019-01-23,2025-12-24,37219,40
"5113 HARDING PL",167,2016-01-27,2025-10-18,37211,34
"506 2ND AVE N",154,2016-08-11,2019-06-27,37201,31
"95 WALLACE RD",130,2016-02-05,2026-01-02,37211,38.5
"705 DREXEL ST",115,2016-01-03,2025-11-21,37203,46.5
"622 RIVERGATE PKWY",112,2016-01-24,2025-11-10,37072,35
"420 METROPLEX DR",92,2018-07-22,2025-12-10,37211,33
"709 REP JOHN LEWIS WAY S",88,2021-02-03,2025-12-25,37203,38
"1601 23RD AVE S",82,2016-07-07,2025-12-12,37212,36
"333 RIO VISTA DR",82,2016-03-17,2025-05-04,37115,31
"5115 HARDING PL",80,2016-02-12,2025-10-21,37211,33
"665 MYATT DR",78,2016-03-11,2025-10-04,37115,37
"1111 BELL RD",76,2016-01-24,2025-11-30,37013,32
"250 CUMBERLAND BND",72,2019-05-01,2025-12-31,37228,37
"1716 ROSA L PARKS BLVD",69,2016-02-05,2025-12-23,37208,42
"3458 DICKERSON PIKE",57,2016-06-04,2025-09-09,37207,36
"1 TERMINAL DR",56,2016-01-06,2025-08-10,37214,35
"1210 MURFREESBORO PIKE",56,2016-05-25,2025-12-02,37217,37
"2901 JOHN A MERRITT BLVD",55,2017-02-22,2025-09-28,37209,56
"1500 PORTER RD",54,2016-04-22,2024-09-06,37206,27
"2200 BRICK CHURCH PIKE",54,2016-11-21,2025-12-27,37207,38
"2802 NOLENSVILLE PIKE",54,2017-12-08,2025-11-24,37210,36
"850 RICHARDS RD",54,2016-03-30,2025-08-28,37013,28
"105 OAK VALLEY DR",52,2016-06-13,2025-12-06,37207,32.5
"2823 MURFREESBORO PIKE",52,2016-07-16,2025-11-13,37013,39
"300 E WEBSTER ST",52,2016-07-10,2025-11-05,37115,36
"4040 NOLENSVILLE PIKE",51,2016-05-16,2025-11-29,37211,39
"1621 BELL RD",49,2016-04-25,2025-08-19,37013,35.5
"323 CARTWRIGHT ST",49,2016-01-03,2025-03-06,37072,34
"500 HOSPITAL DR",49,2016-02-24,2023-11-30,37115,43
"335 FOREST PARK RD",48,2016-03-25,2025-08-10,37115,42.5
"837 BRILEY PKWY",48,2016-03-16,2025-10-05,37217,36
"930 INDUSTRIAL DR",48,2016-03-30,2025-08-08,37138,65
"130 W TRINITY LN",47,2018-05-01,2025-11-03,37207,37
"329 BROADWAY",47,2016-01-02,2025-10-31,37201,26
"3430 PERCY PRIEST DR",47,2016-01-01,2025-06-30,37214,31
"7044 CHARLOTTE PIKE",47,2016-04-25,2025-03-10,37209,37
"7575 COCKRILL BEND BLVD",47,2016-05-26,2025-02-11,37209,49
"2425 ATRIUM WAY",46,2016-03-24,2025-08-15,37214,33.5
"301 28TH AVE N",46,2016-02-08,2025-11-16,37203,61
"402 22ND AVE N",46,2016-02-10,2025-11-28,37203,32
"3035 HAMILTON CHURCH RD",45,2016-03-13,2025-05-05,37013,34
"420 MURFREESBORO PIKE",45,2016-07-30,2025-12-22,37210,43
"7475 COCKRILL BEND BLVD",45,2016-03-30,2025-09-23,37209,36
"97 WALLACE RD",45,2016-01-25,2025-11-26,37211,36.5
"1310 CORELAND DR",44,2016-03-10,2025-08-31,37115,58.5
"2232 GALLATIN PIKE N",44,2016-09-20,2025-09-07,37115,38
"506 2ND AV N",44,2017-02-03,2020-05-30,37203,30
"5768 OLD HICKORY BLVD",44,2016-03-09,2021-12-04,37076,34
"591 N DUPONT AVE",44,2016-01-04,2025-12-11,37115,55
"121 4TH AVE S",43,2016-04-27,2025-11-22,37203,33
"221 BROADWAY",43,2019-02-02,2025-12-28,37201,32
"8283 RIVER ROAD PIKE",43,2016-04-19,2025-09-05,37209,31.5
"331 PLUS PARK BLVD",41,2016-02-22,2026-01-02,37217,50
"1902 DICKERSON PIKE",40,2018-06-01,2025-11-15,37207,41.5
"4144 LEBANON PIKE",40,2016-05-06,2025-12-04,37076,37
"5800 MAUDINA AVE",40,2016-12-05,2025-11-25,37209,33
"60 LESTER AVE",40,2016-05-27,2025-09-27,37210,57
"1310 ELLISTON ST",39,2016-01-08,2025-09-19,37138,39
"270 TAMPA DR",39,2016-07-06,2024-05-24,37211,36
"411 MURFREESBORO PIKE",39,2016-04-28,2025-11-06,37210,43
"111 OLD HICKORY BLVD",38,2016-04-26,2026-01-03,37221,32
"800 MONROE ST",38,2016-01-29,2025-03-17,37208,36
"307 BROADWAY",37,2019-03-06,2025-12-21,37201,27
"1101 BELL RD",36,2017-10-13,2025-07-26,37013,34
"111 N 1ST ST",36,2016-02-20,2023-04-19,37213,39.5
"2400 BUENA VISTA PIKE",36,2016-07-14,2025-07-05,37218,32
"2403 BRICK CHURCH PIKE",36,2018-09-01,2025-08-27,37207,36
"2715 WHITES CREEK PIKE",36,2016-07-08,2025-10-19,37207,35
"448 2ND AVE N",36,2016-01-09,2016-08-05,37201,29
"1000 RIVERGATE PKWY",35,2016-04-14,2025-01-05,37115,35
"1400 EAGLE VIEW BLVD",35,2018-05-08,2025-03-21,37013,29.5
"180 WALLACE RD",35,2016-01-05,2024-03-22,37211,32
"200 GALLATIN PIKE S",35,2017-04-16,2025-09-19,37115,34.5
"255 OLD HICKORY BLVD",35,2016-06-09,2025-11-23,37221,40.5
"5272 CANE RIDGE RD",35,2016-07-27,2025-09-20,37013,34
"1121 BELL RD",34,2016-11-18,2025-09-06,37013,30
"118 EMMITT AVE",34,2016-02-13,2025-08-14,37115,38
"1250 ROBINSON RD",34,2016-02-03,2025-12-14,37138,76
"2131 ELM HILL PIKE",34,2016-05-11,2025-08-11,37210,33
"893 MURFREESBORO PIKE",34,2016-06-10,2025-12-20,37217,42
"300 KATE ST",33,2016-10-13,2025-09-13,37115,34
"1804 GALLATIN PIKE N",32,2022-01-01,2024-10-06,37115,37.5
"227 SHELBY AVE",32,2017-05-25,2025-12-07,37213,32.5
"2800 OPRYLAND DR",32,2016-02-28,2025-11-25,37214,34
"323 HARDING PL",32,2016-05-16,2025-03-19,37211,40.5
"5770 OLD HICKORY BLVD",32,2016-01-18,2022-05-04,37076,36
"6535 PREMIER DR",32,2016-06-07,2025-02-08,37209,34.5
"234 W TRINITY LN",31,2018-06-09,2025-02-14,37207,38.5
"701 STEWARTS FERRY PIKE",31,2016-11-14,2025-12-16,37214,42
"709 5TH AVE S",31,2016-02-08,2019-04-04,37203,37
"150 W TRINITY LN",30,2016-06-23,2025-12-20,37207,42
"200 E WEBSTER ST",30,2016-05-18,2025-09-20,37115,66
"210 32ND ST",30,2016-10-14,2024-06-24,37138,38
"3445 PERCY PRIEST DR",30,2016-08-27,2025-12-07,37214,39
"361 HARDING PL",30,2017-11-18,2025-09-01,37211,32
"370 WALLACE RD",30,2016-11-08,2025-08-20,37211,40
"433 GAY ST",30,2020-07-19,2025-12-16,37201,34
"719 THOMPSON LN",30,2016-02-08,2025-08-19,37204,35
"727 BELL RD",30,2016-01-17,2025-10-07,37013,26
"1271 ANTIOCH PIKE",29,2016-04-28,2025-12-22,37211,44
"305 BROADWAY",29,2016-06-12,2025-12-07,37201,28
"3425 KNIGHT DR",29,2016-01-13,2024-11-11,37189,62
"355 E CEDAR ST",29,2016-10-25,2025-12-03,37072,31.5
"4041 NOLENSVILLE PIKE",29,2016-09-14,2025-04-24,37211,44.5
"4145 LEBANON PIKE",29,2017-01-09,2025-12-23,37076,34.5
"5544 OLD HICKORY BLVD",29,2016-04-23,2025-08-19,37076,33
"831 GLASTONBURY RD",29,2021-04-27,2025-12-07,37217,41
"94 BERKLEY DR",29,2016-10-04,2025-07-15,37115,60
"1504 HAMPTON ST",28,2018-02-23,2023-08-30,37207,34
"1516 HAMPTON ST",28,2016-11-29,2026-01-03,37207,40
"3389 MIMOSA DR",28,2023-11-28,2025-12-31,37211,26
"4271 SIDCO DR",28,2017-07-07,2025-03-23,37204,32
"5001 LINBAR DR",28,2018-05-07,2025-10-03,37211,37
"6001 OLD HICKORY BLVD",28,2016-06-10,2025-09-30,37076,28
"1101 BROADWAY",27,2016-03-12,2024-10-04,37203,35
"123 2ND AVE S",27,2017-09-02,2025-11-26,37201,32
"3110 NOLENSVILLE PIKE",27,2016-06-13,2025-12-17,37211,50
"3258 BRICK CHURCH PIKE",27,2016-11-09,2025-08-28,37207,44
"344 BELL RD",27,2018-04-26,2025-08-30,37217,73.5
"433 OPRY MILLS DR",27,2016-02-12,2025-03-16,37214,29.5
"5515 SCRUGGS LN",27,2017-10-13,2024-11-30,37207,34
"99 SPRING ST",27,2018-03-20,2025-08-26,37213,40
"10 FAIRFIELD AVE",26,2017-07-12,2025-12-27,37210,35.5
"1400 BRICK CHURCH PKE",26,2019-11-27,2021-01-23,37207,38
"1900 HOBSON PIKE",26,2018-11-16,2025-10-06,37013,15
"2025 ROSA L PARKS BLVD",26,2017-04-07,2025-06-16,37228,35
"2284 MURFREESBORO PIKE",26,2016-06-04,2025-10-14,37217,31
"3301 CREEKWOOD DR",26,2016-04-23,2025-10-28,37207,27.5
"340 HARDING PL",26,2016-07-22,2025-12-27,37211,34
"3414 PERCY PRIEST DR",26,2016-07-21,2025-04-04,37214,36.5
"4311 SIDCO DR",26,2017-12-02,2025-09-25,37204,33.5
"5319 MT VIEW RD",26,2017-10-01,2025-09-20,37013,30
"630 BELL RD",26,2016-07-15,2024-11-03,37013,27
"709 5TH AV S",26,2019-07-11,2020-11-03,37203,40
"717 SPENCE LN",26,2020-04-07,2025-12-24,37217,34
"1745 DR D B TODD JR BLVD",25,2017-02-24,2025-12-13,37208,43.5
"2905 DICKERSON PIKE",25,2016-12-19,2025-04-03,37207,33.5
"320 WELCH RD",25,2016-01-01,2023-12-15,37211,30
"3910 CENTRAL PIKE",25,2016-07-07,2025-10-11,37076,36
"660 BELL RD",25,2016-07-18,2025-11-24,37013,28
"750 RIVERGATE PKWY",25,2018-02-14,2025-10-05,37072,39
"2345 ATRIUM WAY",24,2016-09-05,2024-09-15,37214,33.5
"2420 MUSIC VALLEY DR",24,2017-09-24,2025-02-19,37214,32
"300 BAKERTOWN RD",24,2016-05-21,2024-10-14,37013,31
"309 W TRINITY LN",24,2017-09-17,2025-03-03,37207,33.5
"317 MYATT DR",24,2016-06-23,2025-01-25,37115,34.5
"3705 OLD CLARKSVILLE PIKE",24,2016-06-13,2024-12-18,37080,40.5
"500 MAIN ST",24,2016-07-25,2025-06-11,37206,33.5
"615 CHURCH ST",24,2016-12-15,2025-06-01,37219,35
"821 MURFREESBORO PIKE",24,2016-04-24,2025-05-24,37217,37
"1316 TULIP GROVE RD",23,2016-03-07,2024-05-22,37076,36
"1333 DICKERSON PIKE",23,2016-05-29,2025-07-11,37207,39
"3881 STEWARTS LN",23,2016-09-15,2025-09-18,37218,32
"3940 BELL RD",23,2016-02-12,2024-08-01,37076,39
"400 CHARLOTTE AVE",23,2016-01-08,2018-08-16,37219,45
"5636 OLD HICKORY BLVD",23,2019-05-23,2023-10-15,37076,34
"625 BENTON AVE",23,2016-06-25,2025-10-08,37204,53
"919 N 12TH ST",23,2016-07-12,2025-04-27,37206,36
"1090 MURFREESBORO PIKE",22,2017-11-08,2025-10-13,37217,37
"110 NORTHGATE DR",22,2016-05-19,2025-12-05,37072,40
"1801 DICKERSON PIKE",22,2017-05-11,2024-10-27,37207,55
"198 HAYWOOD LN",22,2016-02-24,2024-08-10,37211,31
"217 LARGO DR",22,2017-03-08,2024-10-01,37211,32.5
"2525 ELM HILL PIKE",22,2016-06-25,2025-10-07,37214,30
"275 CUMBERLAND BND",22,2016-01-29,2025-07-30,37228,45
"2999 SMITH SPRINGS RD",22,2016-09-07,2025-08-07,37217,31
"302 DUPONT AV",22,2019-07-10,2021-01-11,37115,25
"311 W TRINITY LN",22,2016-07-12,2025-10-02,37207,48.5
"3437 PERCY PRIEST DR",22,2016-03-24,2025-03-17,37214,35.5
"365 RIO VISTA DR",22,2024-04-16,2025-11-24,37115,26
"4424 LEBANON PIKE",22,2016-05-10,2025-02-03,37138,36.5
"500 CHEYENNE BLVD",22,2016-07-30,2025-07-26,37115,28
"5301 HICKORY HOLLOW LN",22,2016-02-21,2025-04-14,37013,37.5
"5800 OLD HICKORY BLVD",22,2017-10-20,2025-05-29,37076,32
"84 LESTER AVE",22,2017-01-12,2025-06-29,37210,55
"1150 HUNTERS LN",21,2016-01-07,2025-04-22,37207,16
"1400 BRICK CHURCH PIKE",21,2016-08-16,2025-08-19,37207,32.5
"2027 ED TEMPLE BLVD",21,2016-10-31,2025-10-21,37208,37
"2311 BRICK CHURCH PIKE",21,2016-09-04,2025-08-07,37207,38
"310 1ST AVE S",21,2016-05-17,2025-09-23,37201,36
"323 FOREST PARK RD",21,2016-07-08,2024-06-20,37115,33.5
"4343 ASHLAND CITY HWY",21,2016-06-14,2025-09-10,37218,73
"5000 MOUNTAIN SPRINGS RD",21,2016-08-05,2025-06-11,37013,26.5
"504 ELMINGTON AVE",21,2016-05-09,2025-11-29,37205,77.5
"5099 LINBAR DR",21,2016-01-19,2025-06-18,37211,23.5
"510 CLARIDGE DR",21,2016-11-09,2022-10-31,37214,34
"5161 RICE RD",21,2016-07-19,2025-11-23,37013,27
"577 DONELSON PIKE",21,2016-04-18,2025-06-29,37214,36.5
"601 KOREAN VETERANS BLVD",21,2017-08-19,2025-04-05,37203,34
"710 MURFREESBORO PIKE",21,2017-06-24,2025-08-20,37210,36
"7102 CHARLOTTE PIKE",21,2018-05-26,2025-03-30,37209,43.5
"101 GALLATIN PIKE N",20,2017-12-07,2025-04-12,37115,36.5
"13011 OLD HICKORY BLVD",20,2016-04-06,2024-11-30,37086,32.5
"1414 PRINCETON PL",20,2016-03-13,2025-09-15,37076,32
"1415 DICKERSON PIKE",20,2016-12-06,2025-12-26,37207,49
"1519 CHURCH ST",20,2016-01-01,2025-10-19,37203,24.5
"1598 CRESTVIEW DR",20,2016-02-08,2025-03-08,37115,40
"200 NESBITT LN",20,2018-06-28,2023-04-09,37115,36.5
"2022 ROSA L PARKS BLVD",20,2016-04-25,2024-08-04,37228,36
"2112 CHARLOTTE AVE",20,2016-06-09,2025-10-02,37203,40.5
"2607 INGA ST",20,2016-04-16,2021-11-28,37216,32
"331 HARDING PL",20,2018-01-10,2025-12-14,37211,38.5
"4190 NOLENSVILLE PIKE",20,2016-10-18,2025-04-04,37211,33
"5430 OLD HICKORY BLVD",20,2018-01-01,2024-06-01,37076,30
"550 HARDING PL",20,2016-06-02,2024-10-21,37211,30
"5824 NOLENSVILLE PIKE",20,2016-10-21,2025-11-13,37211,33.5
"61 EAST THOMPSON LN",20,2019-11-17,2024-09-28,37211,35.5
"6418 CENTENNIAL BLVD",20,2018-05-23,2025-02-13,37209,31
"808 LEA AVE",20,2021-10-07,2025-01-17,37203,41
"813 DICKERSON PIKE S",20,2016-05-25,2025-12-19,37072,66
"860 MURFREESBORO PIKE",20,2016-07-24,2024-10-09,37217,32
"1123 BUBBLING WELL RD",19,2018-03-01,2021-02-24,37115,28
"1201 BROADWAY",19,2017-03-22,2024-01-10,37203,32.5
"1309 MURFREESBORO PIKE",19,2018-08-12,2025-11-08,37217,42
"1414 COUNTY HOSPITAL RD",19,2016-03-23,2020-04-14,37218,61
"180 ANTHES DR",19,2021-10-08,2025-05-17,37210,34.5
"2514 NOLENSVILLE PIKE",19,2016-11-05,2025-10-08,37210,40
"2712 DICKERSON PIKE",19,2016-05-10,2025-04-16,37207,47.5
"3230 BRICK CHURCH PIKE",19,2022-01-04,2025-03-02,37207,50
"3312 DICKERSON PIKE",19,2017-03-01,2025-05-27,37207,38
"3562 PIN HOOK RD",19,2018-03-12,2025-09-12,37013,35
"3711 DICKERSON PIKE",19,2021-09-30,2025-07-02,37115,34
"3900 LEBANON PIKE",19,2016-04-16,2025-07-17,37076,31
"3991 DICKERSON PIKE",19,2018-08-11,2024-08-15,37207,39.5
"400 E NOCTURNE DR",19,2017-04-11,2025-01-07,37207,31.5
"421 OCALA DR",19,2016-02-20,2024-08-15,37211,75
"511 S 8TH ST",19,2016-09-27,2025-12-12,37206,42
"515 METROPLEX DR",19,2018-11-04,2025-10-22,37211,32
"5353 CANE RIDGE RD",19,2016-06-17,2025-05-22,37013,30.5
"600 WHISPERING HILLS DR",19,2016-10-22,2025-10-18,37211,35
"601 FESSLERS LN",19,2017-10-06,2025-06-28,37210,34.5
"721 DUE WEST AVE N",19,2016-02-25,2025-01-18,37115,31
"830 GLASTONBURY RD",19,2017-10-23,2025-12-26,37217,36
"9 HERMITAGE AVE",19,2017-10-03,2025-08-09,37210,35.5
"906 RIVERGATE PKWY",19,2016-11-28,2024-07-02,37115,34
"909 CONFERENCE DR",19,2017-10-07,2025-01-29,37072,30
"977 AIRPORT SERVICE RD",19,2019-11-24,2023-07-11,37214,36
"100 ROBERT CARTWRIGHT DR",18,2016-07-22,2025-12-30,37072,41.5
"1111 BROADWAY",18,2018-01-26,2025-06-24,37203,34
"1613 BUCHANAN ST",18,2016-08-25,2025-03-22,37208,44
"1830 SPRING BRANCH DR",18,2016-09-25,2025-05-23,37115,38.5
"2200 NOLENSVILLE PIKE",18,2017-02-24,2025-02-05,37210,40
"2212 NOLENSVILLE PIKE",18,2017-12-09,2024-08-30,37210,34
"2333 ROSA L PARKS BLVD",18,2016-01-07,2024-02-04,37228,32.5
"2350 ELM HILL PIKE",18,2019-06-22,2025-08-08,37214,33.5
"2410 MUSIC VALLEY DR",18,2016-07-27,2025-09-08,37214,41
"2435 ATRIUM WAY",18,2018-08-25,2025-03-23,37214,35
"250 REP JOHN LEWIS WAY S",18,2021-05-22,2025-12-14,37203,34
"2623 OLD BUENA VISTA RD",18,2019-07-19,2024-05-31,37218,34.5
"2801 JOHN A MERRITT BLVD",18,2016-07-16,2025-11-18,37209,42.5
"3110 ELM HILL PIKE",18,2016-08-09,2025-07-23,37214,38
"333 GALLATIN PIKE S",18,2017-06-17,2023-09-19,37115,45
"3800 SAM BONEY DR",18,2016-10-03,2025-03-17,37211,76
"3939 APACHE TRL",18,2020-06-09,2025-08-07,37013,26
"422 BROADWAY",18,2016-01-31,2024-10-17,37203,32.5
"441 WELSHWOOD DR",18,2016-08-11,2022-08-20,37211,33
"4TH AV N / BROADWAY",18,2016-06-11,2020-08-28,37203,31
"500 HILLSIDE CT",18,2022-07-24,2025-10-06,37228,40
"5910 OLD HICKORY BLVD",18,2019-08-04,2025-06-21,37218,25
"6215 CENTENNIAL BLVD",18,2017-06-03,2025-10-17,37209,31.5
"701 DICKERSON PIKE",18,2021-04-16,2026-01-02,37207,44
"7087 HIGHWAY 70 S",18,2017-10-30,2024-10-22,37221,36
"809 WREN RD",18,2017-07-09,2024-06-12,37072,40.5
"810 BELLEVUE RD",18,2016-07-15,2025-01-26,37221,35
"832 WEDGEWOOD AVE",18,2016-02-10,2023-09-27,37203,72
"110 MAPLEWOOD TRCE",17,2018-01-26,2025-06-07,37207,32.5
"110 OAK VALLEY DR",17,2018-10-12,2025-05-16,37207,50
"1195 WEDGEWOOD AVE",17,2017-02-16,2025-09-19,37203,59.5
"1211 BELL RD",17,2016-01-22,2025-05-26,37013,24
"122 LIBERTY LN",17,2018-12-14,2025-05-30,37115,35.5
"135 BRINK HAVEN AVE",17,2016-06-22,2025-06-27,37115,44
"1601 23RD AV S",17,2019-10-16,2021-01-29,37212,30
"201 GIFFORD PL",17,2016-07-01,2024-07-06,37080,39
"204 LARGO DR",17,2017-11-12,2024-05-31,37211,33.5
"2501 FOREST VIEW DR",17,2017-03-13,2025-05-25,37013,29.5
"2664 SMITH SPRINGS RD",17,2016-04-17,2024-05-05,37217,36.5
"300 BERKLEY DR",17,2016-08-02,2024-01-23,37115,41.5
"400 BROADWAY",17,2018-02-02,2025-03-24,37203,24
"4343 OLD HICKORY BLVD",17,2016-06-19,2025-06-24,37138,38
"611 COMMERCE ST",17,2018-04-29,2025-07-19,37203,28
