"Address","total_calls","first_call","last_call","Zip","median_age"
"639 LAFAYETTE ST",245,2021-01-06,2025-12-25,37203,42
"200 JAMES ROBERTSON PKWY",224,2021-01-08,2025-12-30,37201,32
"400 DR MARTIN L KING JR BLVD",157,2021-01-23,2025-12-24,37219,38
"95 WALLACE RD",72,2021-01-09,2026-01-02,37211,43
"5113 HARDING PL",68,2021-06-15,2025-10-18,37211,33
"709 REP JOHN LEWIS WAY S",66,2021-02-03,2025-12-25,37203,38
"1601 23RD AVE S",51,2021-04-01,2025-12-12,37212,32
"250 CUMBERLAND BND",46,2021-01-26,2025-12-31,37228,38
"420 METROPLEX DR",44,2021-01-23,2025-12-10,37211,34
"622 RIVERGATE PKWY",43,2021-01-24,2025-11-10,37072,37
"705 DREXEL ST",43,2021-02-21,2025-11-21,37203,40
"1210 MURFREESBORO PIKE",38,2021-02-24,2025-12-02,37217,37
"2200 BRICK CHURCH PIKE",37,2021-03-28,2025-12-27,37207,36.5
"2901 JOHN A MERRITT BLVD",37,2021-01-08,2025-09-28,37209,56
"837 BRILEY PKWY",37,2021-04-08,2025-10-05,37217,35
"2802 NOLENSVILLE PIKE",34,2021-05-14,2025-11-24,37210,35
"1 TERMINAL DR",32,2021-01-09,2025-08-10,37214,34
"1716 ROSA L PARKS BLVD",31,2021-04-24,2025-12-23,37208,44
"300 E WEBSTER ST",31,2021-01-23,2025-11-05,37115,35
"301 28TH AVE N",30,2021-04-10,2025-11-16,37203,55
"333 RIO VISTA DR",30,2021-02-08,2025-05-04,37115,37
"5115 HARDING PL",30,2021-01-27,2025-10-21,37211,33
"1902 DICKERSON PIKE",29,2021-03-01,2025-11-15,37207,40
"402 22ND AVE N",29,2021-03-24,2025-11-28,37203,32
"4040 NOLENSVILLE PIKE",29,2021-07-01,2025-11-29,37211,37.5
"121 4TH AVE S",28,2021-06-01,2025-11-22,37203,33
"329 BROADWAY",28,2021-04-09,2025-10-31,37201,28
"591 N DUPONT AVE",28,2021-03-06,2025-12-11,37115,55
"1111 BELL RD",27,2021-02-03,2025-11-30,37013,38
"130 W TRINITY LN",27,2021-01-05,2025-11-03,37207,37
"331 PLUS PARK BLVD",27,2022-04-10,2026-01-02,37217,52
"3389 MIMOSA DR",27,2024-08-08,2025-12-31,37211,26
"665 MYATT DR",27,2021-02-02,2025-10-04,37115,43
"420 MURFREESBORO PIKE",26,2021-05-06,2025-12-22,37210,48.5
"5800 MAUDINA AVE",26,2021-03-03,2025-11-25,37209,35.5
"1121 BELL RD",25,2021-02-27,2025-09-06,37013,35.5
"2715 WHITES CREEK PIKE",25,2021-04-01,2025-10-19,37207,36.5
"335 FOREST PARK RD",25,2021-01-05,2025-08-10,37115,31
"97 WALLACE RD",25,2021-04-17,2025-11-26,37211,36
"123 2ND AVE S",24,2022-06-03,2025-11-26,37219,29
"2232 GALLATIN PIKE N",24,2021-05-23,2025-09-07,37115,36.5
"307 BROADWAY",24,2021-10-21,2025-12-21,37201,26
"3458 DICKERSON PIKE",24,2021-05-11,2025-09-09,37207,34.5
"7044 CHARLOTTE PIKE",24,2021-02-01,2025-03-10,37209,36.5
"2403 BRICK CHURCH PIKE",23,2021-03-25,2025-08-27,37207,38.5
"2823 MURFREESBORO PIKE",23,2021-02-05,2025-11-13,37013,38
"300 KATE ST",23,2021-03-23,2025-09-13,37115,33
"323 CARTWRIGHT ST",23,2021-01-04,2025-03-06,37072,39
"411 MURFREESBORO PIKE",23,2021-02-26,2025-11-06,37210,44
"433 GAY ST",23,2021-02-07,2025-12-16,37201,33
"105 OAK VALLEY DR",22,2021-03-28,2025-12-06,37207,33
"365 RIO VISTA DR",22,2024-04-16,2025-11-24,37115,26
"4145 LEBANON PIKE",22,2021-02-09,2025-12-23,37076,35
"1101 BELL RD",21,2021-04-02,2025-07-26,37013,33.5
"111 OLD HICKORY BLVD",21,2021-03-12,2026-01-03,37221,34.5
"1500 PORTER RD",21,2021-01-11,2024-09-06,37206,31
"200 GALLATIN PIKE S",21,2021-02-06,2025-09-19,37115,37
